point_nA,rep,mode,t_ms,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,line,true_nA,dev_avg_nA
5.0,2,1,1000,5.054,5.054,2798,3452,30485,16398,30485,16398,I=+5.054 nA X=+5.054 nA MODE=1 T=1000ms RAW m=2798 n=3452 INT1=30485 INT2=16398 EXT1=30485 EXT2=16398,4.9986,5.049333333333333
5.0,3,1,1000,5.057,5.057,2792,3458,30716,10563,30716,10563,I=+5.057 nA X=+5.057 nA MODE=1 T=1000ms RAW m=2792 n=3458 INT1=30716 INT2=10563 EXT1=30716 EXT2=10563,4.9986,5.049333333333333
-0.01,1,2,10000,-0.012,-0.012,31280,31220,30314,46179,30314,46179,I=-0.012 nA X=-0.012 nA MODE=2 T=10000ms RAW m=31280 n=31220 INT1=30314 INT2=46179 EXT1=30314 EXT2=46179,-0.010173089285714284,-0.011666666666666667
-0.01,2,2,10000,-0.011,-0.011,31264,31236,31130,30524,31130,30524,I=-0.011 nA X=-0.011 nA MODE=2 T=10000ms RAW m=31264 n=31236 INT1=31130 INT2=30524 EXT1=31130 EXT2=30524,-0.010173089285714284,-0.011666666666666667
-0.01,3,2,10000,-0.012,-0.012,31273,31227,31074,39671,31074,39671,I=-0.012 nA X=-0.012 nA MODE=2 T=10000ms RAW m=31273 n=31227 INT1=31074 INT2=39671 EXT1=31074 EXT2=39671,-0.010173089285714284,-0.011666666666666667
-0.1,1,2,10000,-0.102,-0.102,31317,31183,30886,26707,30886,26707,I=-0.102 nA X=-0.102 nA MODE=2 T=10000ms RAW m=31317 n=31183 INT1=30886 INT2=26707 EXT1=30886 EXT2=26707,-0.10017946428571428,-0.10233333333333333
-0.1,2,2,10000,-0.102,-0.102,31326,31174,30187,35269,30187,35269,I=-0.102 nA X=-0.102 nA MODE=2 T=10000ms RAW m=31326 n=31174 INT1=30187 INT2=35269 EXT1=30187 EXT2=35269,-0.10017946428571428,-0.10233333333333333
-0.1,3,2,10000,-0.103,-0.103,31332,31168,31034,42119,31034,42119,I=-0.103 nA X=-0.103 nA MODE=2 T=10000ms RAW m=31332 n=31168 INT1=31034 INT2=42119 EXT1=31034 EXT2=42119,-0.10017946428571428,-0.10233333333333333
-1.0,1,1,1000,-1.009,-1.009,3182,3068,30738,23885,30738,23885,I=-1.009 nA X=-1.009 nA MODE=1 T=1000ms RAW m=3182 n=3068 INT1=30738 INT2=23885 EXT1=30738 EXT2=23885,-1.00022,-1.0126666666666666
-1.0,2,1,1000,-1.014,-1.014,3197,3053,30828,39468,30828,39468,I=-1.014 nA X=-1.014 nA MODE=1 T=1000ms RAW m=3197 n=3053 INT1=30828 INT2=39468 EXT1=30828 EXT2=39468,-1.00022,-1.0126666666666666
-1.0,3,1,1000,-1.015,-1.015,3199,3051,31153,41816,31153,41816,I=-1.015 nA X=-1.015 nA MODE=1 T=1000ms RAW m=3199 n=3051 INT1=31153 INT2=41816 EXT1=31153 EXT2=41816,-1.00022,-1.0126666666666666
-2.0,1,1,1000,-2.024,-2.024,3244,3006,30451,22439,30451,22439,I=-2.024 nA X=-2.024 nA MODE=1 T=1000ms RAW m=3244 n=3006 INT1=30451 INT2=22439 EXT1=30451 EXT2=22439,-2.0022788888888887,-2.0273333333333334
-2.0,2,1,1000,-2.029,-2.029,3263,2987,30925,42563,30925,42563,I=-2.029 nA X=-2.029 nA MODE=1 T=1000ms RAW m=3263 n=2987 INT1=30925 INT2=42563 EXT1=30925 EXT2=42563,-2.0022788888888887,-2.0273333333333334
-2.0,3,1,1000,-2.029,-2.029,3259,2991,30947,38403,30947,38403,I=-2.029 nA X=-2.029 nA MODE=1 T=1000ms RAW m=3259 n=2991 INT1=30947 INT2=38403 EXT1=30947 EXT2=38403,-2.0022788888888887,-2.0273333333333334
