gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
A5,pulse,40.0,2.0,10.0,0.2,8.0,7.874015748031496,4,1,1000,7.884,7.884,7.884,7.884,17.36998329999915,nan
A5,pulse,40.0,2.0,10.0,0.2,8.0,7.874015748031496,5,1,1000,7.909,7.909,7.909,7.909,17.36998329999915,nan
D:8,dc,8.0,0.0,0.0,1.0,8.0,8.0,1,1,1000,7.997,7.997,7.997,7.997,nan,7.9990049999999995
D:8,dc,8.0,0.0,0.0,1.0,8.0,8.0,2,1,1000,7.995,7.995,7.995,7.995,nan,7.999009999999999
D:8,dc,8.0,0.0,0.0,1.0,8.0,8.0,3,1,1000,7.997,7.997,7.997,7.997,nan,7.999070000000001
D:8,dc,8.0,0.0,0.0,1.0,8.0,8.0,4,1,1000,7.996,7.996,7.996,7.996,nan,7.999066666666665
D:8,dc,8.0,0.0,0.0,1.0,8.0,8.0,5,1,1000,7.998,7.998,7.998,7.998,nan,7.999076666666666
A4,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,1,1,1000,9.889,9.889,9.889,9.889,17.369663800003764,nan
A4,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,2,1,1000,9.889,9.889,9.889,9.889,17.369663800003764,nan
A4,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,3,1,1000,9.813,9.813,9.813,9.813,17.369663800003764,nan
A4,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,4,1,1000,9.896,9.896,9.896,9.896,17.369663800003764,nan
A4,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,5,1,1000,9.874,9.874,9.874,9.874,17.369663800003764,nan
P1,pulse,40.0,12.5,50.0,0.25,10.0,9.968102073365232,1,1,1000,9.997,9.997,9.997,9.997,17.574645599997893,nan
P1,pulse,40.0,12.5,50.0,0.25,10.0,9.968102073365232,2,1,1000,9.991,9.991,9.991,9.991,17.574645599997893,nan
P1,pulse,40.0,12.5,50.0,0.25,10.0,9.968102073365232,3,1,1000,9.994,9.994,9.994,9.994,17.574645599997893,nan
P1,pulse,40.0,12.5,50.0,0.25,10.0,9.968102073365232,4,1,1000,9.994,9.994,9.994,9.994,17.574645599997893,nan
P1,pulse,40.0,12.5,50.0,0.25,10.0,9.968102073365232,5,1,1000,9.991,9.991,9.991,9.991,17.574645599997893,nan
P2,pulse,40.0,7.5,30.0,0.25,10.0,9.946949602122016,1,1,1000,10.031,10.031,10.031,10.031,17.419216599999345,nan
P2,pulse,40.0,7.5,30.0,0.25,10.0,9.946949602122016,2,1,1000,9.912,9.912,9.912,9.912,17.419216599999345,nan
P2,pulse,40.0,7.5,30.0,0.25,10.0,9.946949602122016,3,1,1000,10.032,10.032,10.032,10.032,17.419216599999345,nan
P2,pulse,40.0,7.5,30.0,0.25,10.0,9.946949602122016,4,1,1000,9.909,9.909,9.909,9.909,17.419216599999345,nan
P2,pulse,40.0,7.5,30.0,0.25,10.0,9.946949602122016,5,1,1000,10.051,10.051,10.051,10.051,17.419216599999345,nan
P3,pulse,40.0,5.0,20.0,0.25,10.0,9.920634920634921,1,1,1000,9.864,9.864,9.864,9.864,17.350769800003036,nan
P3,pulse,40.0,5.0,20.0,0.25,10.0,9.920634920634921,2,1,1000,9.91,9.91,9.91,9.91,17.350769800003036,nan
P3,pulse,40.0,5.0,20.0,0.25,10.0,9.920634920634921,3,1,1000,9.902,9.902,9.902,9.902,17.350769800003036,nan
P3,pulse,40.0,5.0,20.0,0.25,10.0,9.920634920634921,4,1,1000,9.918,9.918,9.918,9.918,17.350769800003036,nan
P3,pulse,40.0,5.0,20.0,0.25,10.0,9.920634920634921,5,1,1000,9.956,9.956,9.956,9.956,17.350769800003036,nan
P4,pulse,40.0,3.75,15.0,0.25,10.0,9.894459102902374,1,1,1000,9.933,9.933,9.933,9.933,17.350789399999485,nan
P4,pulse,40.0,3.75,15.0,0.25,10.0,9.894459102902374,2,1,1000,9.896,9.896,9.896,9.896,17.350789399999485,nan
P4,pulse,40.0,3.75,15.0,0.25,10.0,9.894459102902374,3,1,1000,9.898,9.898,9.898,9.898,17.350789399999485,nan
P4,pulse,40.0,3.75,15.0,0.25,10.0,9.894459102902374,4,1,1000,9.896,9.896,9.896,9.896,17.350789399999485,nan
P4,pulse,40.0,3.75,15.0,0.25,10.0,9.894459102902374,5,1,1000,9.899,9.899,9.899,9.899,17.350789399999485,nan
P5,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,1,1,1000,9.889,9.889,9.889,9.889,17.369141399998625,nan
P5,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,2,1,1000,9.896,9.896,9.896,9.896,17.369141399998625,nan
P5,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,3,1,1000,9.889,9.889,9.889,9.889,17.369141399998625,nan
P5,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,4,1,1000,9.811,9.811,9.811,9.811,17.369141399998625,nan
