序号,设定I_s/nA,回读I_std/nA,I_m1/nA,I_m2/nA,I_m3/nA,平均I_m/nA,s/nA,Delta/nA,delta/%,u_c/nA,Delta/u_c
96,29.500000,29.497167,29.496759,29.497508,29.497996,29.497421,0.000623,0.000254,0.000862,0.028880,0.008801
97,-29.500000,-29.509036,-29.508707,-29.508874,-29.507657,-29.508413,0.000659,0.000623,-0.002113,0.028884,0.021583
98,30.000000,29.998100,29.997411,30.001950,29.999127,29.999496,0.002292,0.001396,0.004653,0.029058,0.048034
99,-30.000000,-30.008075,-30.007238,-30.008610,-30.007409,-30.007752,0.000748,0.000323,-0.001076,0.029034,0.011119
100,30.500000,30.497275,30.497643,30.498220,30.498064,30.497975,0.000299,0.000700,0.002297,0.029178,0.024004
101,-30.500000,-30.509272,-30.508911,-30.509528,-30.508323,-30.508920,0.000603,0.000352,-0.001153,0.029183,0.012054
102,31.000000,30.998522,30.996617,30.997869,30.998399,30.997628,0.000915,-0.000894,-0.002884,0.029333,-0.030483
103,-31.000000,-31.008303,-31.004264,-31.006120,-31.004700,-31.005028,0.000970,0.003275,-0.010561,0.029336,0.111631
104,31.500000,31.497717,31.499479,31.499497,31.501047,31.500008,0.000900,0.002291,0.007274,0.029482,0.077715
105,-31.500000,-31.509767,-31.508156,-31.510322,-31.511794,-31.510090,0.001830,-0.000324,0.001027,0.029500,-0.010974
106,32.000000,31.998847,32.000234,31.999485,31.997941,31.999220,0.001169,0.000373,0.001165,0.029635,0.012583
107,-32.000000,-32.009158,-32.010228,-32.010555,-32.010551,-32.010445,0.000188,-0.001286,0.004018,0.029631,-0.043406
108,32.500000,32.497900,32.495876,32.496538,32.495433,32.495949,0.000556,-0.001951,-0.006004,0.029779,-0.065524
109,-32.500000,-32.508258,-32.505757,-32.505934,-32.506554,-32.506082,0.000418,0.002177,-0.006695,0.029781,0.073084
110,33.000000,32.998969,32.998102,32.999354,32.999073,32.998843,0.000657,-0.000127,-0.000384,0.029930,-0.004233
111,-33.000000,-33.009500,-33.008708,-33.011375,-33.010076,-33.010053,0.001334,-0.000553,0.001675,0.029941,-0.018468
112,33.500000,33.498392,33.496414,33.500250,33.497895,33.498186,0.001935,-0.000205,-0.000612,0.030098,-0.006817
113,-33.500000,-33.508747,-33.508014,-33.508544,-33.510899,-33.509152,0.001536,-0.000405,0.001209,0.030093,-0.013462
114,34.000000,33.997392,33.996635,33.997918,34.000865,33.998473,0.002169,0.001081,0.003179,0.030253,0.035729
115,-34.000000,-34.009708,-34.010451,-34.009058,-34.007047,-34.008852,0.001712,0.000856,-0.002518,0.030247,0.028312
116,34.500000,34.498506,34.499881,34.500582,34.500224,34.500229,0.000351,0.001723,0.004995,0.030378,0.056729
117,-34.500000,-34.509100,-34.507987,-34.507894,-34.509204,-34.508361,0.000731,0.000739,-0.002140,0.030383,0.024308
118,35.000000,34.997758,34.996158,34.997587,34.996955,34.996900,0.000716,-0.000858,-0.002453,0.030529,-0.028119
119,-35.000000,-35.008456,-35.004761,-35.006927,-35.006001,-35.005896,0.001087,0.002559,-0.007310,0.030536,0.083810
120,35.500000,35.498850,35.500496,35.499904,35.500184,35.500195,0.000296,0.001345,0.003788,0.030677,0.043832
121,-35.500000,-35.509600,-35.509414,-35.510225,-35.509507,-35.509715,0.000444,-0.000115,0.000325,0.030681,-0.003757
122,36.000000,35.997992,35.997681,35.999147,35.998133,35.998320,0.000751,0.000329,0.000913,0.030829,0.010666
123,-36.000000,-36.009000,-36.009141,-36.010279,-36.008018,-36.009146,0.001131,-0.000146,0.000405,0.030837,-0.004734
124,36.500000,36.498933,36.502217,36.501924,36.500964,36.501702,0.000655,0.002769,0.007585,0.030979,0.089368
125,-36.500000,-36.510231,-36.510853,-36.510726,-36.509254,-36.510278,0.000889,-0.000047,0.000129,0.030984,-0.001518
126,37.000000,36.998325,36.997602,36.998604,36.998994,36.998400,0.000718,0.000075,0.000203,0.031129,0.002415
127,-37.000000,-37.009608,-37.008271,-37.008738,-37.009705,-37.008905,0.000732,0.000704,-0.001901,0.031132,0.022599
128,37.500000,37.499192,37.497710,37.498666,37.499000,37.498459,0.000670,-0.000733,-0.001955,0.031279,-0.023433
129,-37.500000,-37.508833,-37.507032,-37.504594,-37.505441,-37.505689,0.001237,0.003144,-0.008383,0.031287,0.100503
130,38.000000,37.998292,37.998829,37.999954,37.997171,37.998651,0.001400,0.000360,0.000947,0.031436,0.011446
131,-38.000000,-38.009914,-38.008537,-38.010498,-38.013118,-38.010718,0.002298,-0.000804,0.002116,0.031457,-0.025563
132,38.500000,38.497508,38.496669,38.497261,38.498852,38.497594,0.001129,0.000086,0.000222,0.031582,0.002711
133,-38.500000,-38.509150,-38.508893,-38.509267,-38.511715,-38.509958,0.001533,-0.000808,0.002099,0.031592,-0.025585
134,39.000000,38.998553,38.998597,39.001954,39.000343,39.000298,0.001679,0.001745,0.004475,0.031741,0.054985
135,-39.000000,-39.010392,-39.008325,-39.010131,-39.010497,-39.009651,0.001163,0.000740,-0.001898,0.031736,0.023327
136,39.500000,39.497708,39.498725,39.498304,39.498678,39.498569,0.000231,0.000861,0.002179,0.031876,0.026996
137,-39.500000,-39.509222,-39.509752,-39.509581,-39.509736,-39.509690,0.000095,-0.000467,0.001183,0.031879,-0.014664
138,40.000000,39.998758,40.000793,40.001526,40.000871,40.001064,0.000403,0.002305,0.005763,0.032026,0.071978
139,-40.000000,-40.008533,-40.008666,-40.010179,-40.010288,-40.009711,0.000907,-0.001177,0.002943,0.032033,-0.036758
140,40.500000,40.497958,40.500061,40.499219,40.499105,40.499462,0.000522,0.001503,0.003712,0.032177,0.046719
141,-40.500000,-40.509708,-40.508538,-40.510799,-40.511138,-40.510158,0.001414,-0.000450,0.001110,0.032189,-0.013972
142,41.000000,40.999125,40.999653,40.998206,40.998939,40.998933,0.000723,-0.000192,-0.000469,0.032328,-0.005943
143,-41.000000,-41.009047,-41.006914,-41.006922,-41.008092,-41.007309,0.000678,0.001738,-0.004237,0.032331,0.053749
144,41.500000,41.498033,41.500723,41.499055,41.498602,41.499460,0.001117,0.001427,0.003438,0.032481,0.043926
145,-41.500000,-41.509942,-41.508066,-41.509064,-41.510982,-41.509371,0.001482,0.000571,-0.001376,0.032490,0.017575
146,42.000000,41.997475,41.996401,41.996596,41.995625,41.996207,0.000514,-0.001268,-0.003019,0.032626,-0.038856
147,-42.000000,-42.009250,-42.006595,-42.010282,-42.010828,-42.009235,0.002302,0.000015,-0.000036,0.032655,0.000463
148,42.500000,42.498275,42.498563,42.500466,42.498209,42.499079,0.001214,0.000804,0.001892,0.032782,0.024530
