point_nA,rep,mode,t_ms,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,line,true_nA,dev_avg_nA
-10,1,1,1000,-10.102,-10.102,3738,2512,30422,13531,30422,13531,I=-10.102 nA X=-10.102 nA MODE=1 T=1000ms RAW m=3738 n=2512 INT1=30422 INT2=13531 EXT1=30422 EXT2=13531,-10.002533333333332,-10.113
-10,2,1,1000,-10.119,-10.119,3778,2472,30872,54980,30872,54980,I=-10.119 nA X=-10.119 nA MODE=1 T=1000ms RAW m=3778 n=2472 INT1=30872 INT2=54980 EXT1=30872 EXT2=54980,-10.002533333333332,-10.113
-10,3,1,1000,-10.118,-10.118,3778,2472,30783,54957,30783,54957,I=-10.118 nA X=-10.118 nA MODE=1 T=1000ms RAW m=3778 n=2472 INT1=30783 INT2=54957 EXT1=30783 EXT2=54957,-10.002533333333332,-10.113
-15,1,1,1000,-15.157,-15.157,4057,2193,30981,18919,30981,18919,I=-15.157 nA X=-15.157 nA MODE=1 T=1000ms RAW m=4057 n=2193 INT1=30981 INT2=18919 EXT1=30981 EXT2=18919,-15.006070000000001,-15.157666666666666
-15,2,1,1000,-15.159,-15.159,4058,2192,30984,19838,30984,19838,I=-15.159 nA X=-15.159 nA MODE=1 T=1000ms RAW m=4058 n=2192 INT1=30984 INT2=19838 EXT1=30984 EXT2=19838,-15.006070000000001,-15.157666666666666
-15,3,1,1000,-15.157,-15.157,4057,2193,31032,18942,31032,18942,I=-15.157 nA X=-15.157 nA MODE=1 T=1000ms RAW m=4057 n=2193 INT1=31032 INT2=18942 EXT1=31032 EXT2=18942,-15.006070000000001,-15.157666666666666
-20,1,1,1000,-20.209,-20.209,4371,1879,30822,18534,30822,18534,I=-20.209 nA X=-20.209 nA MODE=1 T=1000ms RAW m=4371 n=1879 INT1=30822 INT2=18534 EXT1=30822 EXT2=18534,-20.007316666666664,-20.209666666666667
-20,2,1,1000,-20.21,-20.21,4371,1879,30821,18467,30821,18467,I=-20.210 nA X=-20.210 nA MODE=1 T=1000ms RAW m=4371 n=1879 INT1=30821 INT2=18467 EXT1=30821 EXT2=18467,-20.007316666666664,-20.209666666666667
-20,3,1,1000,-20.21,-20.21,4372,1878,30849,19493,30849,19493,I=-20.210 nA X=-20.210 nA MODE=1 T=1000ms RAW m=4372 n=1878 INT1=30849 INT2=19493 EXT1=30849 EXT2=19493,-20.007316666666664,-20.209666666666667
-25,1,1,1000,-25.269,-25.269,4693,1557,30464,25850,30464,25850,I=-25.269 nA X=-25.269 nA MODE=1 T=1000ms RAW m=4693 n=1557 INT1=30464 INT2=25850 EXT1=30464 EXT2=25850,-25.00791,-25.272000000000002
-25,2,1,1000,-25.277,-25.277,4714,1536,30929,47893,30929,47893,I=-25.277 nA X=-25.277 nA MODE=1 T=1000ms RAW m=4714 n=1536 INT1=30929 INT2=47893 EXT1=30929 EXT2=47893,-25.00791,-25.272000000000002
-25,3,1,1000,-25.27,-25.27,4704,1546,30921,37831,30921,37831,I=-25.270 nA X=-25.270 nA MODE=1 T=1000ms RAW m=4704 n=1546 INT1=30921 INT2=37831 EXT1=30921 EXT2=37831,-25.00791,-25.272000000000002
-30,1,1,1000,-30.328,-30.328,5026,1224,30900,45561,30900,45561,I=-30.328 nA X=-30.328 nA MODE=1 T=1000ms RAW m=5026 n=1224 INT1=30900 INT2=45561 EXT1=30900 EXT2=45561,-30.008974999999996,-30.329333333333334
-30,2,1,1000,-30.33,-30.33,5025,1225,30863,44390,30863,44390,I=-30.330 nA X=-30.330 nA MODE=1 T=1000ms RAW m=5025 n=1225 INT1=30863 INT2=44390 EXT1=30863 EXT2=44390,-30.008974999999996,-30.329333333333334
-30,3,1,1000,-30.33,-30.33,5026,1224,30965,45498,30965,45498,I=-30.330 nA X=-30.330 nA MODE=1 T=1000ms RAW m=5026 n=1224 INT1=30965 INT2=45498 EXT1=30965 EXT2=45498,-30.008974999999996,-30.329333333333334
-35,1,1,1000,-35.367,-35.367,5316,934,30923,20968,30923,20968,I=-35.367 nA X=-35.367 nA MODE=1 T=1000ms RAW m=5316 n=934 INT1=30923 INT2=20968 EXT1=30923 EXT2=20968,-35.00904545454546,-35.367
-35,2,1,1000,-35.368,-35.368,5316,934,30794,20766,30794,20766,I=-35.368 nA X=-35.368 nA MODE=1 T=1000ms RAW m=5316 n=934 INT1=30794 INT2=20766 EXT1=30794 EXT2=20766,-35.00904545454546,-35.367
-35,3,1,1000,-35.366,-35.366,5316,934,30898,21001,30898,21001,I=-35.366 nA X=-35.366 nA MODE=1 T=1000ms RAW m=5316 n=934 INT1=30898 INT2=21001 EXT1=30898 EXT2=21001,-35.00904545454546,-35.367
-40,1,1,1000,-40.435,-40.435,5661,589,30832,52245,30832,52245,I=-40.435 nA X=-40.435 nA MODE=1 T=1000ms RAW m=5661 n=589 INT1=30832 INT2=52245 EXT1=30832 EXT2=52245,-40.009033333333335,-40.436
-40,2,1,1000,-40.436,-40.436,5661,589,30872,52213,30872,52213,I=-40.436 nA X=-40.436 nA MODE=1 T=1000ms RAW m=5661 n=589 INT1=30872 INT2=52213 EXT1=30872 EXT2=52213,-40.009033333333335,-40.436
-40,3,1,1000,-40.437,-40.437,5661,589,30873,52115,30873,52115,I=-40.437 nA X=-40.437 nA MODE=1 T=1000ms RAW m=5661 n=589 INT1=30873 INT2=52115 EXT1=30873 EXT2=52115,-40.009033333333335,-40.436
-45,1,1,1000,-45.472,-45.472,5943,307,30835,19298,30835,19298,I=-45.472 nA X=-45.472 nA MODE=1 T=1000ms RAW m=5943 n=307 INT1=30835 INT2=19298 EXT1=30835 EXT2=19298,-45.009409090909095,-45.46933333333334
-45,2,1,1000,-45.466,-45.466,5940,310,30856,16506,30856,16506,I=-45.466 nA X=-45.466 nA MODE=1 T=1000ms RAW m=5940 n=310 INT1=30856 INT2=16506 EXT1=30856 EXT2=16506,-45.009409090909095,-45.46933333333334
-45,3,1,1000,-45.47,-45.47,5942,308,30790,18319,30790,18319,I=-45.470 nA X=-45.470 nA MODE=1 T=1000ms RAW m=5942 n=308 INT1=30790 INT2=18319 EXT1=30790 EXT2=18319,-45.009409090909095,-45.46933333333334
