source,set_nA,rep,m,n,m_plus_n,t_ms,I_readback_nA
sweep_broad_r2,-8,3,3602,2648,6250,1000,-8.00273111111111
sweep_broad_r2,-9,1,3695,2555,6250,1000,-9.00256375
sweep_broad_r2,-9,2,3693,2557,6250,1000,-9.00256375
sweep_broad_r2,-9,3,3692,2558,6250,1000,-9.00256375
sweep_broad_r2,-10,1,3737,2513,6250,1000,-10.002566666666667
sweep_broad_r2,-10,2,3780,2470,6250,1000,-10.002566666666667
sweep_broad_r2,-10,3,3778,2472,6250,1000,-10.002566666666667
sweep_broad_r2,-12.5,1,3887,2363,6250,1000,-12.50567
sweep_broad_r2,-12.5,2,3886,2364,6250,1000,-12.50567
sweep_broad_r2,-12.5,3,3886,2364,6250,1000,-12.50567
sweep_broad_r2,-15,1,4058,2192,6250,1000,-15.006116666666667
sweep_broad_r2,-15,2,4058,2192,6250,1000,-15.006116666666667
sweep_broad_r2,-15,3,4056,2194,6250,1000,-15.006116666666667
sweep_broad_r2,-17.5,1,4219,2031,6250,1000,-17.50662
sweep_broad_r2,-17.5,2,4224,2026,6250,1000,-17.50662
sweep_broad_r2,-17.5,3,4220,2030,6250,1000,-17.50662
sweep_broad_r2,-20,1,4370,1880,6250,1000,-20.007308333333334
sweep_broad_r2,-20,2,4371,1879,6250,1000,-20.007308333333334
sweep_broad_r2,-20,3,4372,1878,6250,1000,-20.007308333333334
sweep_broad_r2,-22.5,1,4517,1733,6250,1000,-22.50757
sweep_broad_r2,-22.5,2,4517,1733,6250,1000,-22.50757
sweep_broad_r2,-22.5,3,4517,1733,6250,1000,-22.50757
sweep_broad_r2,-25,1,4722,1528,6250,1000,-25.007883333333332
sweep_broad_r2,-25,2,4710,1540,6250,1000,-25.007883333333332
sweep_broad_r2,-25,3,4719,1531,6250,1000,-25.007883333333332
sweep_broad_r2,-27.5,1,4846,1404,6250,1000,-27.50849
sweep_broad_r2,-27.5,2,4846,1404,6250,1000,-27.50849
sweep_broad_r2,-27.5,3,4846,1404,6250,1000,-27.50849
sweep_broad_r2,-30,1,5025,1225,6250,1000,-30.008550000000003
sweep_broad_r2,-30,2,5025,1225,6250,1000,-30.008550000000003
sweep_broad_r2,-30,3,5025,1225,6250,1000,-30.008550000000003
sweep_broad_r2,-32.5,1,5189,1061,6250,1000,-32.50859
sweep_broad_r2,-32.5,2,5194,1056,6250,1000,-32.50859
sweep_broad_r2,-32.5,3,5189,1061,6250,1000,-32.50859
sweep_broad_r2,-35,1,5321,929,6250,1000,-35.008725
sweep_broad_r2,-35,2,5311,939,6250,1000,-35.008725
sweep_broad_r2,-35,3,5310,940,6250,1000,-35.008725
sweep_broad_r2,-37.5,1,5486,764,6250,1000,-37.509181818181816
sweep_broad_r2,-37.5,2,5486,764,6250,1000,-37.509181818181816
sweep_broad_r2,-37.5,3,5486,764,6250,1000,-37.509181818181816
sweep_broad_r2,-40,1,5661,589,6250,1000,-40.0091
sweep_broad_r2,-40,2,5661,589,6250,1000,-40.0091
sweep_broad_r2,-40,3,5661,589,6250,1000,-40.0091
