set_pA,rep,mode,t_ms,dev_nA,dev_ext_nA,true_nA,dev_avg_nA,err_pct
40000.0,2,1,1000,40.426,40.426,39.99857,40.425000000000004,1.0661131135438178
40000.0,3,1,1000,40.425,40.425,39.99857,40.425000000000004,1.0661131135438178
-6000.0,1,1,1000,-6.067,-6.067,-6.0026955555555555,-6.067333333333333,1.0768125282974688
-6000.0,2,1,1000,-6.069,-6.069,-6.0026955555555555,-6.067333333333333,1.0768125282974688
-6000.0,3,1,1000,-6.066,-6.066,-6.0026955555555555,-6.067333333333333,1.0768125282974688
-7000.0,1,1,1000,-7.072,-7.072,-7.0026075,-7.072,0.9909522988401134
-7000.0,2,1,1000,-7.073,-7.073,-7.0026075,-7.072,0.9909522988401134
-7000.0,3,1,1000,-7.071,-7.071,-7.0026075,-7.072,0.9909522988401134
-8000.0,1,1,1000,-8.072,-8.072,-8.002611111111111,-8.073666666666666,0.8879046422348161
-8000.0,2,1,1000,-8.076,-8.076,-8.002611111111111,-8.073666666666666,0.8879046422348161
-8000.0,3,1,1000,-8.073,-8.073,-8.002611111111111,-8.073666666666666,0.8879046422348161
-9000.0,1,1,1000,-9.096,-9.096,-9.00246375,-9.096666666666666,1.0464126186197125
-9000.0,2,1,1000,-9.099,-9.099,-9.00246375,-9.096666666666666,1.0464126186197125
-9000.0,3,1,1000,-9.095,-9.095,-9.00246375,-9.096666666666666,1.0464126186197125
-10000.0,1,1,1000,-10.102,-10.102,-10.002566666666667,-10.113666666666667,1.110714916504768
-10000.0,2,1,1000,-10.12,-10.12,-10.002566666666667,-10.113666666666667,1.110714916504768
-10000.0,3,1,1000,-10.119,-10.119,-10.002566666666667,-10.113666666666667,1.110714916504768
-12500.0,1,1,1000,-12.621,-12.621,-12.505690000000001,-12.623,0.9380529982751693
-12500.0,2,1,1000,-12.624,-12.624,-12.505690000000001,-12.623,0.9380529982751693
-12500.0,3,1,1000,-12.624,-12.624,-12.505690000000001,-12.623,0.9380529982751693
-15000.0,1,1,1000,-15.159,-15.159,-15.006066666666666,-15.158000000000001,1.012479397221584
-15000.0,2,1,1000,-15.157,-15.157,-15.006066666666666,-15.158000000000001,1.012479397221584
-15000.0,3,1,1000,-15.158,-15.158,-15.006066666666666,-15.158000000000001,1.012479397221584
-17500.0,1,1,1000,-17.685,-17.685,-17.50633,-17.686,1.0263144816760656
-17500.0,2,1,1000,-17.687,-17.687,-17.50633,-17.686,1.0263144816760656
-17500.0,3,1,1000,-17.686,-17.686,-17.50633,-17.686,1.0263144816760656
-20000.0,1,1,1000,-20.211,-20.211,-20.007091666666664,-20.211666666666666,1.0225124341327403
-20000.0,2,1,1000,-20.211,-20.211,-20.007091666666664,-20.211666666666666,1.0225124341327403
-20000.0,3,1,1000,-20.213,-20.213,-20.007091666666664,-20.211666666666666,1.0225124341327403
-22500.0,1,1,1000,-22.73,-22.73,-22.50758,-22.730666666666668,0.9911623847018075
-22500.0,2,1,1000,-22.731,-22.731,-22.50758,-22.730666666666668,0.9911623847018075
-22500.0,3,1,1000,-22.731,-22.731,-22.50758,-22.730666666666668,0.9911623847018075
-25000.0,1,1,1000,-25.278,-25.278,-25.008158333333334,-25.278999999999996,1.083013243344904
-25000.0,2,1,1000,-25.275,-25.275,-25.008158333333334,-25.278999999999996,1.083013243344904
-25000.0,3,1,1000,-25.284,-25.284,-25.008158333333334,-25.278999999999996,1.083013243344904
-27500.0,1,1,1000,-27.791,-27.791,-27.508200000000002,-27.790666666666667,1.02684532854445
-27500.0,2,1,1000,-27.79,-27.79,-27.508200000000002,-27.790666666666667,1.02684532854445
-27500.0,3,1,1000,-27.791,-27.791,-27.508200000000002,-27.790666666666667,1.02684532854445
-30000.0,1,1,1000,-30.329,-30.329,-30.00854166666667,-30.328999999999997,1.067890392318834
-30000.0,2,1,1000,-30.329,-30.329,-30.00854166666667,-30.328999999999997,1.067890392318834
-30000.0,3,1,1000,-30.329,-30.329,-30.00854166666667,-30.328999999999997,1.067890392318834
-32500.0,1,1,1000,-32.85,-32.85,-32.50868,-32.853,1.0591632757774332
-32500.0,2,1,1000,-32.852,-32.852,-32.50868,-32.853,1.0591632757774332
-32500.0,3,1,1000,-32.857,-32.857,-32.50868,-32.853,1.0591632757774332
-35000.0,1,1,1000,-35.365,-35.365,-35.0089,-35.36666666666667,1.0219306138343967
-35000.0,2,1,1000,-35.368,-35.368,-35.0089,-35.36666666666667,1.0219306138343967
-35000.0,3,1,1000,-35.367,-35.367,-35.0089,-35.36666666666667,1.0219306138343967
-37500.0,1,1,1000,-37.9,-37.9,-37.50927272727273,-37.89966666666667,1.040793145290939
-37500.0,2,1,1000,-37.9,-37.9,-37.50927272727273,-37.89966666666667,1.040793145290939
-37500.0,3,1,1000,-37.899,-37.899,-37.50927272727273,-37.89966666666667,1.040793145290939
-40000.0,1,1,1000,-40.435,-40.435,-40.00897500000001,-40.43566666666667,1.066489873001403
-40000.0,2,1,1000,-40.435,-40.435,-40.00897500000001,-40.43566666666667,1.066489873001403
-40000.0,3,1,1000,-40.437,-40.437,-40.00897500000001,-40.43566666666667,1.066489873001403
