set_nA,rep,true_nA,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,t_ms,mode,wave_min,wave_max,wave_mean,wave_bad,rng_A,baud,warmup,t_settle_ms,t_warm_ms,t_meas_ms,t_xfer_ms,npz,line
0.05,1,0.049816233333333335,0.05,0.05,31232,31268,30198,35462,30198,35462,10000,2,1851,59482,30800.5,0,1e-09,115200,always,3496,1018,11255,1097,w_p0000_0500_r1.npz,I=+0.050 nA X=+0.050 nA MODE=2 T=10000ms CAL=+0.050 RAW m=31232 n=31268 INT1=30198 INT2=35462 EXT1=30198 EXT2=35462
0.05,2,0.049811520000000005,0.05,0.05,31224,31276,31254,28375,31254,28375,10000,2,1989,59544,30753.1,0,1e-09,115200,always,3496,1018,12033,1096,w_p0000_0500_r2.npz,I=+0.050 nA X=+0.050 nA MODE=2 T=10000ms CAL=+0.050 RAW m=31224 n=31276 INT1=31254 INT2=28375 EXT1=31254 EXT2=28375
0.05,3,0.0498106,0.05,0.05,31224,31276,31004,27944,31004,27944,10000,2,2013,59536,30748.1,0,1e-09,115200,always,3496,1018,11248,1096,w_p0000_0500_r3.npz,I=+0.050 nA X=+0.050 nA MODE=2 T=10000ms CAL=+0.050 RAW m=31224 n=31276 INT1=31004 INT2=27944 EXT1=31004 EXT2=27944
0.1,1,0.09983181111111111,0.1,0.1,31202,31298,30525,37261,30525,37261,10000,2,2050,59531,30797.3,0,1e-09,115200,always,3496,1023,11231,1096,w_p0000_1000_r1.npz,I=+0.100 nA X=+0.100 nA MODE=2 T=10000ms CAL=+0.100 RAW m=31202 n=31298 INT1=30525 INT2=37261 EXT1=30525 EXT2=37261
0.1,2,0.09982587777777778,0.1,0.1,31191,31309,31304,26753,31304,26753,10000,2,2005,59542,30761.2,0,1e-09,115200,always,3496,1023,11228,1096,w_p0000_1000_r2.npz,I=+0.100 nA X=+0.100 nA MODE=2 T=10000ms CAL=+0.100 RAW m=31191 n=31309 INT1=31304 INT2=26753 EXT1=31304 EXT2=26753
0.1,3,0.09983214,0.1,0.1,31188,31312,31193,23647,31193,23647,10000,2,2014,59520,30755.8,0,1e-09,115200,always,3496,1023,12452,1096,w_p0000_1000_r3.npz,I=+0.100 nA X=+0.100 nA MODE=2 T=10000ms CAL=+0.100 RAW m=31188 n=31312 INT1=31193 INT2=23647 EXT1=31193 EXT2=23647
0.2,1,0.19985144444444444,0.2,0.2,31131,31369,30690,29102,30690,29102,10000,2,1989,59483,30808.2,0,1e-09,115200,always,3496,1026,11228,1096,w_p0000_2000_r1.npz,I=+0.200 nA X=+0.200 nA MODE=2 T=10000ms CAL=+0.200 RAW m=31131 n=31369 INT1=30690 INT2=29102 EXT1=30690 EXT2=29102
0.2,2,0.1998567,0.2,0.2,31148,31352,30903,46620,30903,46620,10000,2,2069,59441,30760.7,0,1e-09,115200,always,3496,1026,12031,1096,w_p0000_2000_r2.npz,I=+0.200 nA X=+0.200 nA MODE=2 T=10000ms CAL=+0.200 RAW m=31148 n=31352 INT1=30903 INT2=46620 EXT1=30903 EXT2=46620
0.2,3,0.19985644444444448,0.2,0.2,31148,31352,31203,46972,31203,46972,10000,2,2109,59496,30760.2,0,1e-09,115200,always,3496,1026,11228,1096,w_p0000_2000_r3.npz,I=+0.200 nA X=+0.200 nA MODE=2 T=10000ms CAL=+0.200 RAW m=31148 n=31352 INT1=31203 INT2=46972 EXT1=31203 EXT2=46972
0.3,1,0.2998676666666667,0.3,0.3,31061,31439,30630,21697,30630,21697,10000,2,1938,59482,30807.9,0,1e-09,115200,always,3496,1026,11309,1096,w_p0000_3000_r1.npz,I=+0.300 nA X=+0.300 nA MODE=2 T=10000ms CAL=+0.300 RAW m=31061 n=31439 INT1=30630 INT2=21697 EXT1=30630 EXT2=21697
0.3,2,0.2998706666666667,0.3,0.3,31089,31411,30807,50357,30807,50357,10000,2,2047,59472,30766.7,0,1e-09,115200,always,3496,1026,11282,1097,w_p0000_3000_r2.npz,I=+0.300 nA X=+0.300 nA MODE=2 T=10000ms CAL=+0.300 RAW m=31089 n=31411 INT1=30807 INT2=50357 EXT1=30807 EXT2=50357
0.3,3,0.2998725,0.3,0.3,31075,31425,31168,36649,31168,36649,10000,2,1954,59566,30769.2,0,1e-09,115200,always,3496,1026,12590,1096,w_p0000_3000_r3.npz,I=+0.300 nA X=+0.300 nA MODE=2 T=10000ms CAL=+0.300 RAW m=31075 n=31425 INT1=31168 INT2=36649 EXT1=31168 EXT2=36649
